id,breed_id,ems,english
462,1,gs 03 24, blue tortie silver bicolour spotted 
463,1,hs 03 24, chocolate tortie silver bicolour spotted 
464,1,js 03 24, lilac tortie silver bicolour spotted 
465,1,n 33, seal pointed 
466,1,a 33, blue pointed 
467,1,b 33, chocolate pointed 
468,1,c 33, lilac pointed 
469,1,d 33, red pointed 
470,1,e 33, cream pointed 
471,1,f 33, seal tortie pointed 
472,1,g 33, blue tortie pointed 
473,1,h 33, chocolate tortie pointed 
474,1,j 33, lilac tortie pointed 
475,1,n 21 33, seal tabby pointed 
476,1,a 21 33, blue tabby pointed 
477,1,b 21 33, chocolate tabby pointed 
478,1,c 21 33, lilac tabby pointed 
479,1,d 21 33, red tabby pointed 
480,1,e 21 33, cream tabby pointed 
481,1,f 21 33, seal tortie tabby pointed 
482,1,g 21 33, blue tortie tabby pointed 
483,1,h 21 33, chocolate tortie tabby pointed 
484,1,j 21 33, lilac tortie tabby pointed 
485,1,x*," non recognised colour/trait, any EMS code "
486,2,w 61, white blue eyed 
487,2,w 62, white orange eyed 
488,2,w 63, white odd eyed 
489,2,w 67, white with Siamese blue eye colour 
490,2,n, black 
491,2,a, blue 
492,2,b, chocolate 
493,2,c, lilac 
494,2,d, red 
495,2,e, cream 
496,2,f, black tortie 
497,2,g, blue tortie 
498,2,h, chocolate tortie 
499,2,j, lilac tortie 
500,2,ns, black smoke 
501,2,as, blue smoke 
502,2,bs, chocolate smoke 
503,2,cs, lilac smoke 
504,2,ds, red smoke 
505,2,es, cream smoke 
506,2,fs, black tortie smoke 
507,2,gs, blue tortie smoke 
508,2,hs, chocolate tortie smoke 
509,2,js, lilac tortie smoke 
510,2,ns 11, black silver shaded 
511,2,as 11, blue silver shaded 
512,2,bs 11, chocolate silver shaded 
513,2,cs 11, lilac silver shaded 
514,2,ns 12, black silver shell 
515,2,as 12, blue silver shell 
516,2,bs 12, chocolate silver shell 
517,2,cs 12, lilac silver shell 
518,2,ds 11, red silver shaded 
519,2,es 11, cream silver shaded 
520,2,fs 11, black tortie silver shaded 
521,2,gs 11, blue tortie silver shaded 
522,2,hs 11, chocolate tortie silver shaded 
523,2,js 11, lilac tortie silver shaded 
524,2,ds 12, red silver shell 
525,2,es 12, cream silver shell 
526,2,fs 12, black tortie silver shell 
527,2,gs 12, blue tortie silver shell 
528,2,hs 12, chocolate tortie silver shell 
529,2,js 12, lilac tortie silver shell 
530,2,ny 11, black golden shaded 
531,2,ay 11, blue golden shaded 
532,2,ny 12, black golden shell 
533,2,ay 12, blue golden shell 
534,2,n 22, black blotched 
535,2,a 22, blue blotched 
536,2,b 22, chocolate blotched 
537,2,c 22, lilac blotched 
538,2,d 22, red blotched 
539,2,e 22, cream blotched 
540,2,f 22, black tortie blotched 
541,2,g 22, blue tortie blotched 
542,2,h 22, chocolate tortie blotched 
543,2,j 22, lilac tortie blotched 
544,2,n 23, black mackerel 
545,2,a 23, blue mackerel 
546,2,b 23, chocolate mackerel 
547,2,c 23, lilac mackerel 
548,2,d 23, red mackerel 
549,2,e 23, cream mackerel 
550,2,f 23, black tortie mackerel 
551,2,g 23, blue tortie mackerel 
552,2,h 23, chocolate tortie mackerel 
553,2,j 23, lilac tortie mackerel 
554,2,n 24, black spotted 
555,2,a 24, blue spotted 
556,2,b 24, chocolate spotted 
557,2,c 24, lilac spotted 
558,2,d 24, red spotted 
559,2,e 24, cream spotted 
560,2,f 24, black tortie spotted 
561,2,g 24, blue tortie spotted 
562,2,h 24, chocolate tortie spotted 
563,2,j 24, lilac tortie spotted 
564,2,ns 22 62, black silver blotched orange eyed 
565,2,as 22 62, blue silver blotched orange eyed 
566,2,bs 22 62, chocolate silver blotched orange eyed 
567,2,cs 22 62, lilac silver blotched orange eyed 
568,2,ds 22 62, red silver blotched orange eyed 
569,2,es 22 62, cream silver blotched orange eyed 
570,2,fs 22 62, black tortie silver blotched orange eyed 
571,2,gs 22 62, blue tortie silver blotched orange eyed 
572,2,hs 22 62, chocolate tortie silver blotched orange eyed 
573,2,js 22 62, lilac tortie silver blotched orange eyed 
574,2,ns 23 62, black silver mackerel orange eyed 
575,2,as 23 62, blue silver mackerel orange eyed 
576,2,bs 23 62, chocolate silver mackerel orange eyed 
577,2,cs 23 62, lilac silver mackerel orange eyed 
578,2,ds 23 62, red silver mackerel orange eyed 
579,2,es 23 62, cream silver mackerel orange eyed 
580,2,fs 23 62, black tortie silver mackerel orange eyed 
581,2,gs 23 62, blue tortie silver mackerel orange eyed 
582,2,hs 23 62, chocolate tortie silver mackerel orange eyed 
583,2,js 23 62, lilac tortie silver mackerel orange eyed 
584,2,ns 24 62, black silver spotted orange eyed 
585,2,as 24 62, blue silver spotted orange eyed 
586,2,bs 24 62, chocolate silver spotted orange eyed 
587,2,cs 24 62, lilac silver spotted orange eyed 
588,2,ds 24 62, red silver spotted orange eyed 
589,2,es 24 62, cream silver spotted orange eyed 
590,2,fs 24 62, black tortie silver spotted orange eyed 
591,2,gs 24 62, blue tortie silver spotted orange eyed 
592,2,hs 24 62, chocolate tortie silver spotted orange eyed 
593,2,js 24 62, lilac tortie silver spotted orange eyed 
594,2,ns 22 64, black silver blotched green eyed 
595,2,as 22 64, blue silver blotched green eyed 
596,2,bs 22 64, chocolate silver blotched green eyed 
597,2,cs 22 64, lilac silver blotched green eyed 
598,2,ds 22 64, red silver blotched green eyed 
599,2,es 22 64, cream silver blotched green eyed 
